pemmdb_carrier,pemmdb_type,pemmdb_hydro_inflows,pecd_carrier,investment_dataset_carrier,tyndp_output_carrier,tyndp_report_carrier,tyndp_vp_carrier,open_tyndp_carrier,open_tyndp_index,open_tyndp_nice_name,benchmarking_capacity,benchmarking_generation,benchmarking_generation_profiles,benchmarking_fed,benchmarking_elec_demand,benchmarking_ch4_demand,benchmarking_h2_demand,benchmarking_ch4_supply,benchmarking_h2_supply,benchmarking_biomass_supply,benchmarking_energy_imports,open_tyndp_type,pypsa_eur_carrier,comment
Solar,Photovoltaic,,LFSolarPVUtility,Solar PV Utility,Solar (Photovoltaic),Solar,Solar PV Utility,solar-pv-utility,solar-pv-utility,Solar PV (Utility),solar,solar,solar,,,,,,,,,solar-pv-utility,,For non Italian nodes Utility and Rooftop share the same PECD profile called LFSolarPV
Solar,Rooftop,,LFSolarPVRooftop,Solar PV Rooftop,,Solar,Solar PV Rooftop,solar-pv-rooftop,solar-pv-rooftop,Solar PV (Rooftop),solar,solar,solar,,,,,,,,,solar-pv-rooftop,,For non Italian nodes Utility and Rooftop share the same PECD profile called LFSolarPV
,,,,,,,Solar PV,,,,solar,solar,,,,,,,,,,,,
,,,,,,,DRES Solar PV,,,,solar,solar,,,,,,,,,,,,
Solar,Thermal Solar,,CSP_noStorage,,Solar (Thermal),,Solar Thermal,solar-thermal,solar-thermal,,solar thermal,solar thermal,,,,,,,,,,solar-thermal,,
Solar,Solar Thermal with Storage,,CSP_withStorage,,,,,solar-thermal-w-storage,solar-thermal-w-storage,,solar thermal,solar thermal,,,,,,,,,,solar-thermal-w-storage,,
Solar,Solar Thermal with Storage - Storage,,CSP_withStorage,,,,,solar-thermal-w-storage,solar-thermal-w-storage-storage,,solar thermal,solar thermal,,,,,,,,,,solar-thermal-w-storage-storage,,
Wind,Onshore wind,,Wind_Onshore,Wind Onshore,Wind Onshore,Wind Onshore,Wind Onshore,onwind,onwind,Onshore Wind,wind onshore,wind onshore,onshore wind,,,,,,,,,onwind,,
,,,,,,,DRES Wind On,,,,wind onshore,wind onshore,,,,,,,,,,,,
Wind,Offshore wind,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind,offwind,,wind offshore,wind offshore,,,,,,,,,,offwind,,only used w/o offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-ac-fb-r,offwind-ac-fb-r,Offshore Wind (AC),wind offshore,wind offshore,offshore wind,,,,,,,,,offwind-ac-fb-r,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-ac-fl-r,offwind-ac-fl-r,Offshore Wind (AC Float.),wind offshore,wind offshore,offshore wind,,,,,,,,,offwind-ac-fl-r,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-dc-fb-r,offwind-dc-fb-r,Offshore Wind (DC),wind offshore,wind offshore,offshore wind,,,,,,,,,offwind-dc-fb-r,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-dc-fl-r,offwind-dc-fl-r,Offshore Wind (DC Float.),wind offshore,wind offshore,offshore wind,,,,,,,,,offwind-dc-fl-r,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-dc-fb-oh,offwind-dc-fb-oh,Offshore Wind (DC OH),wind offshore,wind offshore,offshore wind,,,,,,,,,offwind-dc-fb-oh,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-dc-fl-oh,offwind-dc-fl-oh,Offshore Wind (DC Float. OH),wind offshore,wind offshore,offshore wind,,,,,,,,,offwind-dc-fl-oh,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-h2-fb-oh,offwind-h2-fb-oh,Offshore Wind (H2 OH),wind offshore,wind offshore,offshore wind,,,,,,,,,offwind-h2-fb-oh,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-h2-fl-oh,offwind-h2-fl-oh,Offshore Wind (H2 Float. OH),wind offshore,wind offshore,offshore wind,,,,,,,,,offwind-h2-fl-oh,,only used with offshore hubs
,,,,,,,DRES Wind Off,,,,wind offshore,wind offshore,,,,,,,,,,,,
Hydro,Run of River - Turbine,Run_of_River,,,Run-of-River,Hydro (exc. Pump storage),Run-of-River,hydro-ror,hydro-ror,Run of River,hydro and pumped storage,hydro (exc. pump storage),hydro,,,,,,,,,hydro-ror-turbine,,
Hydro,Pondage - Reservoir,Pondage,,,,,,hydro-pondage,hydro-pondage-reservoir,,,,,,,,,,,,,hydro-pondage-reservoir,,
Hydro,Pondage - Turbine,Pondage,,,Pondage,Hydro (exc. Pump storage),Pondage,hydro-pondage,hydro-pondage,Hydro Pondage,hydro and pumped storage,hydro (exc. pump storage),hydro,,,,,,,,,hydro-pondage-turbine,,
Hydro,Reservoir - Reservoir,Reservoir,,,,,,hydro-reservoir,hydro-reservoir-reservoir,,,,,,,,,,,,,hydro-reservoir-reservoir,,
Hydro,Reservoir - Turbine,Reservoir,,,Reservoir,Hydro (exc. Pump storage),Reservoir,hydro-reservoir,hydro-reservoir,Reservoir & Dam,hydro and pumped storage,hydro (exc. pump storage),hydro,,,,,,,,,hydro-reservoir-turbine,,
Hydro,Pump Storage - Reservoir,PS_Open,,,,,,hydro-phs,hydro-phs-reservoir,,,,,,,,,,,,,hydro-phs-reservoir,,
Hydro,Pump Storage - Turbine,PS_Open,,,Pump Storage - Open Loop (turbine),Hydro and pumped storage,Pump Storage - Open Loop (turbine),hydro-phs,hydro-phs-turbine,Pumped Hydro,hydro and pumped storage,hydro and pumped storage,hydro,,,,,,,,,hydro-phs-turbine,,
